;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;1
1;22.105010977919996;16.829759304151228;14.325508199658167;17.23712828275164;17.935737182055615;12.689482443342202;17.259598474974112;16.098681381399317;16.39296852604123;1
2;-1.3117944585873382;-0.34005788402703274;0.02907021579184088;-0.4057159612069363;-0.5219704184921761;0.23817439199151857;-0.4093833117584613;-0.22616342842885806;-0.27140220015042393;1
3;16.137202898550726;13.098144927536232;11.638628842071155;13.93541608695652;14.260066066686658;10.048380988304942;13.666443643121232;12.759419990477529;14.569153043478263;1
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;2
1;22.147180658768175;13.987311083641368;13.788122463194;15.101042051838357;16.82628930505358;11.954030611802821;14.886467465304102;15.027257881568579;16.39296852604123;2
2;-1.320623282339175;0.0743725693618823;0.10054795681231943;-0.07890096720204487;-0.33950534846304237;0.3239225108225525;-0.048458038419802785;-0.06838363546648707;-0.27140220015042393;2
3;16.469391304347827;11.095956521739131;11.567966300365626;12.57033289855072;13.875772643600685;9.391436928324179;12.005090014268342;12.550964240238011;14.569153043478263;2
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;3
1;19.965676735613727;12.069620524835342;12.93903863448988;13.009782490221234;13.66037993009977;11.348184818178838;12.363498014370805;12.048774175807239;16.39296852604123;3
2;-0.8859745107361738;0.31078458824935395;0.2079150386564218;0.1992299529768503;0.11713702248507729;0.3907149122948871;0.27681322526838226;0.3131633237359711;-0.27140220015042393;3
3;14.106260869565217;9.36595652173913;10.673834412496756;10.349784492753622;10.849571471725685;8.94821882136749;9.544139977929497;9.763128253442938;14.569153043478263;3
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;4
1;13.616256842817625;10.46195251420966;10.677335912819274;10.36973011265798;11.39709266126264;10.774977791390276;10.828955132211675;10.083288245258013;16.39296852604123;4
2;0.12283111424305526;0.4821628098385863;0.46062158774174944;0.4912520698325278;0.38545186226935124;0.45071148826094287;0.4451943730385225;0.5189700546826448;-0.27140220015042393;4
3;9.829391304347826;7.852521739130435;8.377852847316586;8.107142463768113;8.823505034958107;8.555907691198763;8.518905459715493;8.04821338758638;14.569153043478263;4
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;5
