date,MAX_TEMPERATURE_C,WINDSPEED_MAX_KMH,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,PM25_t,MAX_TEMPERATURE_C_T_1,WINDSPEED_MAX_KMH_T_1,PRECIP_TOTAL_DAY_MM_T_1,HUMIDITY_MAX_PERCENT_T_1,PM25_t_T_1,MAX_TEMPERATURE_C_T_2,WINDSPEED_MAX_KMH_T_2,PRECIP_TOTAL_DAY_MM_T_2,HUMIDITY_MAX_PERCENT_T_2,PM25_t_T_2,MAX_TEMPERATURE_C_T_3,WINDSPEED_MAX_KMH_T_3,PRECIP_TOTAL_DAY_MM_T_3,HUMIDITY_MAX_PERCENT_T_3,PM25_t_T_3,MAX_TEMPERATURE_C_T_4,WINDSPEED_MAX_KMH_T_4,PRECIP_TOTAL_DAY_MM_T_4,HUMIDITY_MAX_PERCENT_T_4,PM25_t_T_4,MAX_TEMPERATURE_C_T_5,WINDSPEED_MAX_KMH_T_5,PRECIP_TOTAL_DAY_MM_T_5,HUMIDITY_MAX_PERCENT_T_5,PM25_t_T_5,MAX_TEMPERATURE_C_T_6,WINDSPEED_MAX_KMH_T_6,PRECIP_TOTAL_DAY_MM_T_6,HUMIDITY_MAX_PERCENT_T_6,PM25_t_T_6,y
2019-04-25,25.0,12.0,0.0,53.0,70.0,19.0,13.0,0.2,71.0,65.0,21.0,14.0,0.0,56.0,64.0,22.0,16.0,0.0,49.0,60.0,21.0,19.0,0.0,65.0,62.0,21.0,15.0,0.0,61.0,60.0,25.0,15.0,0.0,49.0,64.0,70.0
2019-04-26,19.0,13.0,0.2,71.0,65.0,21.0,14.0,0.0,56.0,64.0,22.0,16.0,0.0,49.0,60.0,21.0,19.0,0.0,65.0,62.0,21.0,15.0,0.0,61.0,60.0,25.0,15.0,0.0,49.0,64.0,25.0,12.0,3.4,46.0,63.0,65.0
2019-04-27,21.0,14.0,0.0,56.0,64.0,22.0,16.0,0.0,49.0,60.0,21.0,19.0,0.0,65.0,62.0,21.0,15.0,0.0,61.0,60.0,25.0,15.0,0.0,49.0,64.0,25.0,12.0,3.4,46.0,63.0,21.0,17.0,2.7,77.0,67.0,67.0
2019-04-28,22.0,16.0,0.0,49.0,60.0,21.0,19.0,0.0,65.0,62.0,21.0,15.0,0.0,61.0,60.0,25.0,15.0,0.0,49.0,64.0,25.0,12.0,3.4,46.0,63.0,21.0,17.0,2.7,77.0,67.0,17.0,16.0,3.1,72.0,55.0,67.0
2019-04-29,21.0,19.0,0.0,65.0,62.0,21.0,15.0,0.0,61.0,60.0,25.0,15.0,0.0,49.0,64.0,25.0,12.0,3.4,46.0,63.0,21.0,17.0,2.7,77.0,67.0,17.0,16.0,3.1,72.0,55.0,19.0,15.0,0.1,67.0,64.0,67.0
2019-04-30,21.0,15.0,0.0,61.0,60.0,25.0,15.0,0.0,49.0,64.0,25.0,12.0,3.4,46.0,63.0,21.0,17.0,2.7,77.0,67.0,17.0,16.0,3.1,72.0,55.0,19.0,15.0,0.1,67.0,64.0,23.0,14.0,0.0,56.0,67.0,67.0
2019-05-01,25.0,15.0,0.0,49.0,64.0,25.0,12.0,3.4,46.0,63.0,21.0,17.0,2.7,77.0,67.0,17.0,16.0,3.1,72.0,55.0,19.0,15.0,0.1,67.0,64.0,23.0,14.0,0.0,56.0,67.0,27.0,12.0,0.0,48.0,77.0,77.0
2019-05-02,25.0,12.0,3.4,46.0,63.0,21.0,17.0,2.7,77.0,67.0,17.0,16.0,3.1,72.0,55.0,19.0,15.0,0.1,67.0,64.0,23.0,14.0,0.0,56.0,67.0,27.0,12.0,0.0,48.0,77.0,27.0,13.0,0.0,35.0,67.0,77.0
2019-05-03,21.0,17.0,2.7,77.0,67.0,17.0,16.0,3.1,72.0,55.0,19.0,15.0,0.1,67.0,64.0,23.0,14.0,0.0,56.0,67.0,27.0,12.0,0.0,48.0,77.0,27.0,13.0,0.0,35.0,67.0,25.0,14.0,0.0,50.0,59.0,77.0
2019-05-04,17.0,16.0,3.1,72.0,55.0,19.0,15.0,0.1,67.0,64.0,23.0,14.0,0.0,56.0,67.0,27.0,12.0,0.0,48.0,77.0,27.0,13.0,0.0,35.0,67.0,25.0,14.0,0.0,50.0,59.0,27.0,12.0,0.0,56.0,64.0,77.0
2019-05-05,19.0,15.0,0.1,67.0,64.0,23.0,14.0,0.0,56.0,67.0,27.0,12.0,0.0,48.0,77.0,27.0,13.0,0.0,35.0,67.0,25.0,14.0,0.0,50.0,59.0,27.0,12.0,0.0,56.0,64.0,29.0,13.0,0.0,53.0,76.0,77.0
2019-05-06,23.0,14.0,0.0,56.0,67.0,27.0,12.0,0.0,48.0,77.0,27.0,13.0,0.0,35.0,67.0,25.0,14.0,0.0,50.0,59.0,27.0,12.0,0.0,56.0,64.0,29.0,13.0,0.0,53.0,76.0,22.0,18.0,0.0,62.0,65.0,77.0
2019-05-07,27.0,12.0,0.0,48.0,77.0,27.0,13.0,0.0,35.0,67.0,25.0,14.0,0.0,50.0,59.0,27.0,12.0,0.0,56.0,64.0,29.0,13.0,0.0,53.0,76.0,22.0,18.0,0.0,62.0,65.0,20.0,18.0,0.0,48.0,60.0,77.0
2019-05-08,27.0,13.0,0.0,35.0,67.0,25.0,14.0,0.0,50.0,59.0,27.0,12.0,0.0,56.0,64.0,29.0,13.0,0.0,53.0,76.0,22.0,18.0,0.0,62.0,65.0,20.0,18.0,0.0,48.0,60.0,22.0,13.0,0.0,53.0,58.0,76.0
2019-05-09,25.0,14.0,0.0,50.0,59.0,27.0,12.0,0.0,56.0,64.0,29.0,13.0,0.0,53.0,76.0,22.0,18.0,0.0,62.0,65.0,20.0,18.0,0.0,48.0,60.0,22.0,13.0,0.0,53.0,58.0,27.0,13.0,0.0,43.0,65.0,76.0
2019-05-10,27.0,12.0,0.0,56.0,64.0,29.0,13.0,0.0,53.0,76.0,22.0,18.0,0.0,62.0,65.0,20.0,18.0,0.0,48.0,60.0,22.0,13.0,0.0,53.0,58.0,27.0,13.0,0.0,43.0,65.0,26.0,13.0,0.0,44.0,64.0,76.0
2019-05-11,29.0,13.0,0.0,53.0,76.0,22.0,18.0,0.0,62.0,65.0,20.0,18.0,0.0,48.0,60.0,22.0,13.0,0.0,53.0,58.0,27.0,13.0,0.0,43.0,65.0,26.0,13.0,0.0,44.0,64.0,21.0,30.0,0.0,48.0,71.0,76.0
2019-05-12,22.0,18.0,0.0,62.0,65.0,20.0,18.0,0.0,48.0,60.0,22.0,13.0,0.0,53.0,58.0,27.0,13.0,0.0,43.0,65.0,26.0,13.0,0.0,44.0,64.0,21.0,30.0,0.0,48.0,71.0,23.0,13.0,0.1,48.0,65.0,71.0
2019-05-13,20.0,18.0,0.0,48.0,60.0,22.0,13.0,0.0,53.0,58.0,27.0,13.0,0.0,43.0,65.0,26.0,13.0,0.0,44.0,64.0,21.0,30.0,0.0,48.0,71.0,23.0,13.0,0.1,48.0,65.0,22.0,15.0,0.4,45.0,62.0,71.0
2019-05-14,22.0,13.0,0.0,53.0,58.0,27.0,13.0,0.0,43.0,65.0,26.0,13.0,0.0,44.0,64.0,21.0,30.0,0.0,48.0,71.0,23.0,13.0,0.1,48.0,65.0,22.0,15.0,0.4,45.0,62.0,23.0,11.0,0.2,45.0,63.0,71.0
2019-05-15,27.0,13.0,0.0,43.0,65.0,26.0,13.0,0.0,44.0,64.0,21.0,30.0,0.0,48.0,71.0,23.0,13.0,0.1,48.0,65.0,22.0,15.0,0.4,45.0,62.0,23.0,11.0,0.2,45.0,63.0,25.0,16.0,0.6,43.0,68.0,71.0
2019-05-16,26.0,13.0,0.0,44.0,64.0,21.0,30.0,0.0,48.0,71.0,23.0,13.0,0.1,48.0,65.0,22.0,15.0,0.4,45.0,62.0,23.0,11.0,0.2,45.0,63.0,25.0,16.0,0.6,43.0,68.0,25.0,13.0,0.1,58.0,72.0,72.0
2019-05-17,21.0,30.0,0.0,48.0,71.0,23.0,13.0,0.1,48.0,65.0,22.0,15.0,0.4,45.0,62.0,23.0,11.0,0.2,45.0,63.0,25.0,16.0,0.6,43.0,68.0,25.0,13.0,0.1,58.0,72.0,26.0,14.0,0.0,36.0,72.0,72.0
2019-05-18,23.0,13.0,0.1,48.0,65.0,22.0,15.0,0.4,45.0,62.0,23.0,11.0,0.2,45.0,63.0,25.0,16.0,0.6,43.0,68.0,25.0,13.0,0.1,58.0,72.0,26.0,14.0,0.0,36.0,72.0,26.0,14.0,0.0,44.0,74.0,74.0
2019-05-19,22.0,15.0,0.4,45.0,62.0,23.0,11.0,0.2,45.0,63.0,25.0,16.0,0.6,43.0,68.0,25.0,13.0,0.1,58.0,72.0,26.0,14.0,0.0,36.0,72.0,26.0,14.0,0.0,44.0,74.0,21.0,18.0,1.9,71.0,56.0,74.0
2019-05-20,23.0,11.0,0.2,45.0,63.0,25.0,16.0,0.6,43.0,68.0,25.0,13.0,0.1,58.0,72.0,26.0,14.0,0.0,36.0,72.0,26.0,14.0,0.0,44.0,74.0,21.0,18.0,1.9,71.0,56.0,19.0,16.0,9.3,73.0,54.0,74.0
2019-05-21,25.0,16.0,0.6,43.0,68.0,25.0,13.0,0.1,58.0,72.0,26.0,14.0,0.0,36.0,72.0,26.0,14.0,0.0,44.0,74.0,21.0,18.0,1.9,71.0,56.0,19.0,16.0,9.3,73.0,54.0,25.0,10.0,0.0,55.0,60.0,74.0
2019-05-22,25.0,13.0,0.1,58.0,72.0,26.0,14.0,0.0,36.0,72.0,26.0,14.0,0.0,44.0,74.0,21.0,18.0,1.9,71.0,56.0,19.0,16.0,9.3,73.0,54.0,25.0,10.0,0.0,55.0,60.0,27.0,13.0,0.0,41.0,77.0,77.0
2019-05-23,26.0,14.0,0.0,36.0,72.0,26.0,14.0,0.0,44.0,74.0,21.0,18.0,1.9,71.0,56.0,19.0,16.0,9.3,73.0,54.0,25.0,10.0,0.0,55.0,60.0,27.0,13.0,0.0,41.0,77.0,22.0,22.0,0.0,66.0,61.0,77.0
2019-05-24,26.0,14.0,0.0,44.0,74.0,21.0,18.0,1.9,71.0,56.0,19.0,16.0,9.3,73.0,54.0,25.0,10.0,0.0,55.0,60.0,27.0,13.0,0.0,41.0,77.0,22.0,22.0,0.0,66.0,61.0,23.0,23.0,0.0,48.0,57.0,77.0
2019-05-25,21.0,18.0,1.9,71.0,56.0,19.0,16.0,9.3,73.0,54.0,25.0,10.0,0.0,55.0,60.0,27.0,13.0,0.0,41.0,77.0,22.0,22.0,0.0,66.0,61.0,23.0,23.0,0.0,48.0,57.0,22.0,19.0,0.0,54.0,62.0,77.0
2019-05-26,19.0,16.0,9.3,73.0,54.0,25.0,10.0,0.0,55.0,60.0,27.0,13.0,0.0,41.0,77.0,22.0,22.0,0.0,66.0,61.0,23.0,23.0,0.0,48.0,57.0,22.0,19.0,0.0,54.0,62.0,24.0,19.0,0.0,47.0,61.0,77.0
2019-05-27,25.0,10.0,0.0,55.0,60.0,27.0,13.0,0.0,41.0,77.0,22.0,22.0,0.0,66.0,61.0,23.0,23.0,0.0,48.0,57.0,22.0,19.0,0.0,54.0,62.0,24.0,19.0,0.0,47.0,61.0,29.0,15.0,0.0,48.0,58.0,77.0
2019-05-28,27.0,13.0,0.0,41.0,77.0,22.0,22.0,0.0,66.0,61.0,23.0,23.0,0.0,48.0,57.0,22.0,19.0,0.0,54.0,62.0,24.0,19.0,0.0,47.0,61.0,29.0,15.0,0.0,48.0,58.0,30.0,12.0,0.0,53.0,67.78115942028985,77.0
2019-05-29,22.0,22.0,0.0,66.0,61.0,23.0,23.0,0.0,48.0,57.0,22.0,19.0,0.0,54.0,62.0,24.0,19.0,0.0,47.0,61.0,29.0,15.0,0.0,48.0,58.0,30.0,12.0,0.0,53.0,67.78115942028985,31.0,12.0,0.0,49.0,67.78115942028985,67.78115942028985
2019-05-30,23.0,23.0,0.0,48.0,57.0,22.0,19.0,0.0,54.0,62.0,24.0,19.0,0.0,47.0,61.0,29.0,15.0,0.0,48.0,58.0,30.0,12.0,0.0,53.0,67.78115942028985,31.0,12.0,0.0,49.0,67.78115942028985,28.0,22.0,0.0,43.0,60.0,67.78115942028985
2019-05-31,22.0,19.0,0.0,54.0,62.0,24.0,19.0,0.0,47.0,61.0,29.0,15.0,0.0,48.0,58.0,30.0,12.0,0.0,53.0,67.78115942028985,31.0,12.0,0.0,49.0,67.78115942028985,28.0,22.0,0.0,43.0,60.0,25.0,16.0,0.4,54.0,64.0,67.78115942028985
2019-06-01,24.0,19.0,0.0,47.0,61.0,29.0,15.0,0.0,48.0,58.0,30.0,12.0,0.0,53.0,67.78115942028985,31.0,12.0,0.0,49.0,67.78115942028985,28.0,22.0,0.0,43.0,60.0,25.0,16.0,0.4,54.0,64.0,27.0,13.0,0.4,59.0,63.0,67.78115942028985
2019-06-02,29.0,15.0,0.0,48.0,58.0,30.0,12.0,0.0,53.0,67.78115942028985,31.0,12.0,0.0,49.0,67.78115942028985,28.0,22.0,0.0,43.0,60.0,25.0,16.0,0.4,54.0,64.0,27.0,13.0,0.4,59.0,63.0,25.0,19.0,1.8,66.0,77.0,77.0
2019-06-03,30.0,12.0,0.0,53.0,67.78115942028985,31.0,12.0,0.0,49.0,67.78115942028985,28.0,22.0,0.0,43.0,60.0,25.0,16.0,0.4,54.0,64.0,27.0,13.0,0.4,59.0,63.0,25.0,19.0,1.8,66.0,77.0,24.0,18.0,0.2,73.0,70.0,77.0
2019-06-04,31.0,12.0,0.0,49.0,67.78115942028985,28.0,22.0,0.0,43.0,60.0,25.0,16.0,0.4,54.0,64.0,27.0,13.0,0.4,59.0,63.0,25.0,19.0,1.8,66.0,77.0,24.0,18.0,0.2,73.0,70.0,26.0,13.0,0.0,58.0,71.0,77.0
2019-06-05,28.0,22.0,0.0,43.0,60.0,25.0,16.0,0.4,54.0,64.0,27.0,13.0,0.4,59.0,63.0,25.0,19.0,1.8,66.0,77.0,24.0,18.0,0.2,73.0,70.0,26.0,13.0,0.0,58.0,71.0,26.0,13.0,0.0,62.0,69.0,77.0
2019-06-06,25.0,16.0,0.4,54.0,64.0,27.0,13.0,0.4,59.0,63.0,25.0,19.0,1.8,66.0,77.0,24.0,18.0,0.2,73.0,70.0,26.0,13.0,0.0,58.0,71.0,26.0,13.0,0.0,62.0,69.0,26.0,18.0,0.0,53.0,75.0,77.0
2019-06-07,27.0,13.0,0.4,59.0,63.0,25.0,19.0,1.8,66.0,77.0,24.0,18.0,0.2,73.0,70.0,26.0,13.0,0.0,58.0,71.0,26.0,13.0,0.0,62.0,69.0,26.0,18.0,0.0,53.0,75.0,41.0,11.0,0.0,47.0,73.0,77.0
2019-06-08,25.0,19.0,1.8,66.0,77.0,24.0,18.0,0.2,73.0,70.0,26.0,13.0,0.0,58.0,71.0,26.0,13.0,0.0,62.0,69.0,26.0,18.0,0.0,53.0,75.0,41.0,11.0,0.0,47.0,73.0,27.0,20.0,0.0,73.0,65.0,77.0
2019-06-09,24.0,18.0,0.2,73.0,70.0,26.0,13.0,0.0,58.0,71.0,26.0,13.0,0.0,62.0,69.0,26.0,18.0,0.0,53.0,75.0,41.0,11.0,0.0,47.0,73.0,27.0,20.0,0.0,73.0,65.0,25.0,14.0,0.0,67.0,72.0,75.0
