DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2019-04-25,25,21,12,16,25,24,0,53,10,1018,7.25,26,12,21,116,116,116,0,1,11.6,météo favorable
2019-04-26,19,16,13,16,18,18,0.2,71,10,1025,20.625,20,12,16,116,353,116,0,1,13.3,météo correcte
2019-04-27,21,19,14,17,21,21,0,56,10,1026,0.75,24,13,19,113,113,116,0,1,13.7,météo favorable
2019-04-28,22,18,16,15,21,20,0,49,10,1025,5.625,24,12,18,116,116,116,0,1,13.8,météo favorable
2019-04-29,21,18,19,16,21,19,0,65,10,1019,36.5,24,13,18,116,116,119,0,1,12.1,météo favorable
2019-04-30,21,18,15,16,21,20,0,61,10,1017,12.75,24,12,18,116,116,116,0,1,13.8,météo favorable
2019-05-01,25,19,15,14,24,23,0,49,10,1016,4.625,25,13,19,116,116,116,0,1,13.8,météo favorable
2019-05-02,25,21,12,18,25,21,3.4,46,9.625,1012,47.5,26,14,21,116,176,353,0,1,13.3,météo favorable
2019-05-03,21,19,17,19,20,20,2.7,77,9.5,1011,65.5,23,15,19,176,116,176,0,1,12.2,météo défavorable
2019-05-04,17,14,16,14,16,16,3.1,72,8.75,1014,66.625,18,13,13,353,176,176,0,1,9.8,météo défavorable
2019-05-05,19,17,15,15,18,16,0.1,67,10,1018,34,19,13,17,116,119,176,0,1,11,météo correcte
2019-05-06,23,20,14,16,23,22,0,56,10,1020,9.375,25,13,20,116,116,116,0,1,13.9,météo favorable
2019-05-07,27,23,12,18,27,25,0,48,10,1020,15.25,27,14,23,116,116,116,0,1,13.9,météo favorable
2019-05-08,27,23,13,19,27,24,0,35,10,1017,26.125,27,13,23,116,116,116,0,1,14,météo favorable
2019-05-09,25,22,14,19,25,24,0,50,10,1016,23.125,26,17,22,116,116,116,0,1,14,météo favorable
2019-05-10,27,24,12,22,26,25,0,56,10,1016,6.5,28,16,24,116,116,113,0,1,14,météo favorable
2019-05-11,29,24,13,20,28,27,0,53,10,1020,11.125,29,17,24,116,116,113,0,1,14,météo favorable
