date,value
2019-04-25,70.0
2019-04-26,65.0
2019-04-27,64.0
2019-04-28,60.0
2019-04-29,62.0
2019-04-30,60.0
2019-05-01,64.0
2019-05-02,63.0
2019-05-03,67.0
2019-05-04,55.0
2019-05-05,64.0
2019-05-06,67.0
2019-05-07,77.0
2019-05-08,67.0
2019-05-09,59.0
2019-05-10,64.0
2019-05-11,76.0
2019-05-12,65.0
2019-05-13,60.0
2019-05-14,58.0
2019-05-15,65.0
2019-05-16,64.0
2019-05-17,71.0
2019-05-18,65.0
2019-05-19,62.0
2019-05-20,63.0
2019-05-21,68.0
2019-05-22,72.0
2019-05-23,72.0
2019-05-24,74.0
2019-05-25,56.0
2019-05-26,54.0
2019-05-27,60.0
2019-05-28,77.0
2019-05-29,61.0
2019-05-30,57.0
2019-05-31,62.0
2019-06-01,61.0
2019-06-02,58.0
2019-06-03,67.78115942028985
2019-06-04,67.78115942028985
2019-06-05,60.0
2019-06-06,64.0
2019-06-07,63.0
2019-06-08,77.0
2019-06-09,70.0
2019-06-10,71.0
2019-06-11,69.0
2019-06-12,75.0
2019-06-13,73.0
2019-06-14,65.0
2019-06-15,72.0
2019-06-16,69.0
2019-06-17,64.0
2019-06-18,63.0
2019-06-19,67.78115942028985
2019-06-20,67.78115942028985
2019-06-21,67.78115942028985
2019-06-22,67.78115942028985
2019-06-23,77.0
2019-06-24,79.0
2019-06-25,82.0
2019-06-26,103.0
2019-06-27,96.0
2019-06-28,74.0
2019-06-29,80.0
2019-06-30,95.0
2019-07-01,88.0
2019-07-02,91.0
2019-07-03,99.0
2019-07-04,67.78115942028985
2019-07-05,67.78115942028985
2019-07-06,107.0
2019-07-07,94.0
2019-07-08,74.0
2019-07-09,64.0
2019-07-10,73.0
2019-07-11,62.0
2019-07-12,69.0
2019-07-13,73.0
2019-07-14,77.0
2019-07-15,76.0
2019-07-16,68.0
2019-07-17,63.0
2019-07-18,59.0
2019-07-19,64.0
2019-07-20,85.0
2019-07-21,85.0
2019-07-22,74.0
2019-07-23,76.0
2019-07-24,84.0
2019-07-25,78.0
2019-07-26,87.0
2019-07-27,72.0
2019-07-28,65.0
2019-07-29,59.0
2019-07-30,65.0
2019-07-31,63.0
2019-08-01,90.0
2019-08-02,67.78115942028985
2019-08-03,67.78115942028985
2019-08-04,73.0
2019-08-05,68.0
2019-08-06,67.78115942028985
2019-08-07,67.78115942028985
2019-08-08,67.78115942028985
2019-08-09,67.78115942028985
2019-08-10,67.78115942028985
2019-08-11,67.78115942028985
2019-08-12,67.78115942028985
2019-08-13,60.0
2019-08-14,57.0
2019-08-15,65.0
2019-08-16,64.0
2019-08-17,79.0
2019-08-18,88.0
2019-08-19,93.0
2019-08-20,86.0
2019-08-21,62.0
2019-08-22,53.0
2019-08-23,61.0
2019-08-24,64.0
2019-08-25,65.0
2019-08-26,77.0
2019-08-27,84.0
2019-08-28,65.0
2019-08-29,66.0
2019-08-30,60.0
2019-08-31,66.0
2019-09-01,72.0
2019-09-02,71.0
2019-09-03,62.0
2019-09-04,58.0
2019-09-05,63.0
2019-09-06,63.0
2019-09-07,62.0
2019-09-08,80.0
2019-09-09,65.0
2019-09-10,70.0
2019-09-11,54.0
2019-09-12,52.0
2019-09-13,61.0
2019-09-14,75.0
2019-09-15,79.0
2019-09-16,91.0
2019-09-17,87.0
2019-09-18,80.0
2019-09-19,91.0
2019-09-20,81.0
2019-09-21,83.0
2019-09-22,92.0
2019-09-23,66.0
2019-09-24,64.0
2019-09-25,74.0
2019-09-26,71.0
2019-09-27,77.0
2019-09-28,72.0
2019-09-29,78.0
2019-09-30,113.0
2019-10-01,101.0
2019-10-02,71.0
2019-10-03,55.0
2019-10-04,66.0
2019-10-05,75.0
2019-10-06,92.0
2019-10-07,80.0
2019-10-08,58.0
2019-10-09,71.0
2019-10-10,67.78115942028985
2019-10-11,67.78115942028985
2019-10-12,67.78115942028985
2019-10-13,67.78115942028985
2019-10-14,76.0
2019-10-15,59.0
2019-10-16,66.0
2019-10-17,70.0
2019-10-18,74.0
2019-10-19,82.0
2019-10-20,76.0
2019-10-21,55.0
2019-10-22,60.0
2019-10-23,51.0
2019-10-24,54.0
2019-10-25,57.0
2019-10-26,58.0
2019-10-27,63.0
2019-10-28,70.0
2019-10-29,72.0
2019-10-30,89.0
2019-10-31,68.0
2019-11-01,63.0
2019-11-02,68.0
2019-11-03,68.0
2019-11-04,62.0
2019-11-05,55.0
2019-11-06,53.0
2019-11-07,59.0
2019-11-08,52.0
2019-11-09,49.0
2019-11-10,54.0
2019-11-11,52.0
2019-11-12,53.0
2019-11-13,60.0
2019-11-14,56.0
2019-11-15,54.0
2019-11-16,54.0
2019-11-17,56.0
2019-11-18,51.0
2019-11-19,61.0
2019-11-20,70.0
2019-11-21,65.0
2019-11-22,67.0
2019-11-23,64.0
2019-11-24,55.0
2019-11-25,63.0
2019-11-26,62.0
2019-11-27,48.0
2019-11-28,49.0
2019-11-29,54.0
2019-11-30,72.0
2019-12-01,89.0
2019-12-02,72.0
2019-12-03,71.0
2019-12-04,64.0
2019-12-05,66.0
2019-12-06,66.0
2019-12-07,76.0
2019-12-08,64.0
2019-12-09,72.0
2019-12-10,63.0
2019-12-11,67.0
2019-12-12,58.0
2019-12-13,62.0
2019-12-14,59.0
2019-12-15,76.0
2019-12-16,69.0
2019-12-17,118.0
2019-12-18,68.0
2019-12-19,68.0
2019-12-20,53.0
2019-12-21,53.0
2019-12-22,64.0
2019-12-23,70.0
2019-12-24,88.0
2019-12-25,95.0
2019-12-26,104.0
2019-12-27,88.0
2019-12-28,71.0
2019-12-29,64.0
2019-12-30,67.78115942028985
2019-12-31,67.78115942028985
2020-01-01,81.0
2020-01-02,115.0
2020-01-03,103.0
2020-01-04,95.0
2020-01-05,101.0
2020-01-06,100.0
2020-01-07,96.0
2020-01-08,75.0
2020-01-09,69.0
2020-01-10,68.0
2020-01-11,60.0
2020-01-12,54.0
2020-01-13,68.0
2020-01-14,79.0
2020-01-15,86.0
2020-01-16,97.0
2020-01-17,80.0
2020-01-18,75.0
2020-01-19,59.0
2020-01-20,62.0
2020-01-21,150.0
2020-01-22,172.0
2020-01-23,104.0
2020-01-24,84.0
2020-01-25,75.0
2020-01-26,63.0
2020-01-27,59.0
2020-01-28,66.0
2020-01-29,68.0
2020-01-30,72.0
2020-01-31,65.0
2020-02-01,65.0
2020-02-02,69.0
2020-02-03,98.0
2020-02-04,73.0
2020-02-05,66.0
2020-02-06,67.0
2020-02-07,68.0
2020-02-08,75.0
2020-02-09,103.0
2020-02-10,94.0
2020-02-11,82.0
2020-02-12,89.0
2020-02-13,150.0
2020-02-14,67.78115942028985
2020-02-15,67.78115942028985
2020-02-16,122.0
2020-02-17,128.0
2020-02-18,101.0
2020-02-19,58.0
2020-02-20,65.0
2020-02-21,65.0
2020-02-22,75.0
2020-02-23,78.0
2020-02-24,106.0
2020-02-25,91.0
2020-02-26,68.0
2020-02-27,62.0
2020-02-28,74.0
2020-02-29,69.0
2020-03-01,67.0
2020-03-02,62.0
2020-03-03,65.0
2020-03-04,67.0
2020-03-05,67.0
2020-03-06,60.0
2020-03-07,52.0
2020-03-08,56.0
2020-03-09,59.0
2020-03-10,60.0
2020-03-11,77.0
2020-03-12,76.0
2020-03-13,69.0
2020-03-14,72.0
2020-03-15,65.0
2020-03-16,81.0
2020-03-17,74.0
2020-03-18,72.0
2020-03-19,66.0
2020-03-20,69.0
2020-03-21,72.0
2020-03-22,51.0
2020-03-23,69.0
2020-03-24,72.0
2020-03-25,58.0
2020-03-26,58.0
2020-03-27,50.0
2020-03-28,50.0
2020-03-29,53.0
2020-03-30,59.0
2020-03-31,65.0
2020-04-01,76.0
2020-04-02,54.0
2020-04-03,48.0
2020-04-04,55.0
2020-04-05,64.0
