;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier
0;68.0;68.0;71.02317771243658;69.38;76.01611;72.0658770947663;74.78152793906004;70.03410073774252;83.9014347826087
1;71.0;71.0;73.48765420301325;70.22562318840579;73.59661;72.78005251888338;68.91085047532889;72.27962398720598;83.9014347826087
2;56.0;61.0;62.548863245094864;65.5;63.03842;70.40116650111179;67.55155210732863;70.00617137823252;83.9014347826087
3;128.0;77.0;86.79598689392732;104.33;85.25592;73.16868619503497;86.71893588454068;102.01832665589222;83.9014347826087
4;84.0;68.0;69.2463570335315;68.97781159420289;69.33312;72.1988985655583;72.00380463286666;71.1858727222886;83.9014347826087
5;71.0;71.0;76.2920843661719;71.79686956521738;71.10056;73.56778669223375;71.9216838989818;72.67724891857358;83.9014347826087
6;68.0;76.0;74.46364612465597;75.2456231884058;71.416;75.44056432535548;71.89686165476789;73.6384623260763;83.9014347826087
7;68.0;71.0;78.35464295165777;71.64686956521737;71.76076;75.14150193568521;69.7686505639146;72.75178134901948;83.9014347826087
8;84.0;73.0;81.9902913612477;78.05030434782606;74.82967;74.87627557404228;75.16888886632121;74.98539845570208;83.9014347826087
9;76.0;85.0;88.52568061300664;90.0278115942029;89.57056;83.28332777748238;85.3509662660212;87.20241155128096;83.9014347826087
10;92.0;93.0;97.91588589719788;92.98;93.87004;88.3136868003833;94.56585197162;93.78751882814777;83.9014347826087
11;82.0;86.0;93.65091838887889;92.64;90.770294;89.08328302660237;97.69438258935811;91.61260265894963;83.9014347826087
12;107.0;92.0;97.94386395601913;95.68;92.56084;90.48405778947625;95.25330069446443;94.4897443840441;83.9014347826087
13;69.0;76.0;78.70997344462957;81.7978115942029;82.51095;78.59860962926813;82.41497765693713;80.80422230807423;83.9014347826087
14;71.0;84.0;73.15376841838383;80.8356231884058;85.04323;74.0754944182448;75.46152669586367;75.47417115538838;83.9014347826087
15;128.0;76.0;79.33849898984528;88.20781159420291;76.73832;74.67038448671263;83.11969143997825;82.05630066252864;83.9014347826087
16;76.0;76.0;79.53685391331203;81.60343478260869;80.35286;78.52199314212044;86.15269486493945;83.30270569152877;83.9014347826087
17;118.0;92.0;86.94857591554072;101.89;91.40036;84.78579223903608;92.38153858492858;93.38253563286871;83.9014347826087
18;77.0;77.0;85.15175715692747;80.91;76.983826;84.28150829661648;79.82934390894076;85.14324708015236;83.9014347826087
19;69.0;77.0;86.12898006534364;78.26;77.91442;81.03611749715498;72.8351911879648;82.38443228200738;83.9014347826087
20;67.78115942028985;68.0;64.82836313705809;70.8134347826087;72.86182;71.58020623214624;70.11641565061262;70.46448710838635;83.9014347826087
21;69.0;70.0;67.06649756848144;72.64781159420289;74.847755;72.52729905067517;67.13832104955303;70.89363915107036;83.9014347826087
22;85.0;80.0;75.17872254716313;86.5578115942029;86.60178;74.75139448022875;85.30572401888112;82.73266241379065;83.9014347826087
23;67.78115942028985;71.0;74.97448321901105;73.07373913043476;72.10201;75.17705390737643;68.03781960749657;71.73719417974053;83.9014347826087
24;89.0;80.0;73.19622540663887;82.75249275362319;72.708755;74.11047401767172;84.61923132535276;81.41025964259052;83.9014347826087
25;69.0;77.0;84.92315428289268;79.37;83.063576;75.4332717946606;79.88575409496252;77.09204775874281;83.9014347826087
26;90.0;80.0;80.82081145336116;76.8178115942029;84.4894;77.11664693139156;82.87399802037302;85.94767050022274;83.9014347826087
27;60.0;66.0;54.444527669589625;66.56;57.724907;68.86660347374738;60.09717142951124;57.68122767438413;83.9014347826087
28;76.0;76.0;67.31963397680394;74.06686956521739;73.15396;75.29851762151334;74.61378255619655;69.59050980755829;83.9014347826087
29;81.0;69.0;73.21007292244552;72.4478115942029;68.68398;75.98140020084958;71.29904612551763;72.62656100726565;83.9014347826087
30;91.0;82.0;64.5006340983509;80.23;80.70705;72.09779571367733;74.31161027423892;74.62506982571303;83.9014347826087
31;82.0;77.0;75.1675208500636;80.67717391304346;79.45357;80.45773874535818;78.1087866803083;85.44530343354116;83.9014347826087
32;80.0;75.0;73.6658324095563;74.66468115942027;68.02354;74.4082663377395;68.79652976690123;72.93080855482286;83.9014347826087
33;69.0;80.0;79.93829267781793;81.8978115942029;78.63019;76.43771149667724;79.79418062508681;78.03105190023567;83.9014347826087
34;57.0;69.0;73.338843842403;71.6956231884058;67.54593;72.00091131414689;67.52464606788332;70.04726734804777;83.9014347826087
35;56.0;61.0;61.57581810266888;66.54;66.442535;70.63823959174758;69.30339816156363;64.48489828650574;83.9014347826087
36;69.0;71.0;66.32493055574545;72.9;69.33148;72.36003974686315;68.47445794761903;71.48189108140603;83.9014347826087
37;82.0;71.0;76.3925958764545;73.94;71.22142;76.65571719252979;74.4994485705815;76.94166310706152;83.9014347826087
38;77.0;72.0;71.36221750952227;74.49124637681159;77.591934;77.48492371355185;71.90804434610038;73.12064209521421;83.9014347826087
39;68.0;77.0;75.5658174677502;88.5078115942029;88.51939;78.14404876868485;81.08253027098023;80.53032697655934;83.9014347826087
40;79.0;77.0;79.25219437577576;86.7312463768116;84.80356;80.17736375275817;89.04159099080964;80.17857437175003;83.9014347826087
41;103.0;103.0;80.68179181459038;93.87343478260871;98.20409;79.71030585462472;93.7806644901415;92.16394480271458;83.9014347826087
42;103.0;98.0;79.1249188266786;89.16;88.87427;79.39151176354227;95.2981153969977;85.1191753751366;83.9014347826087
43;79.0;77.0;78.20659150602957;82.26;81.03231;79.54476917148648;83.03558426936982;71.93742883912971;83.9014347826087
44;82.0;77.0;78.33062040754359;81.94811594202896;87.359924;80.4003609515916;88.60347780444077;80.72797236269383;83.9014347826087
45;82.0;77.0;78.7742691719381;79.74905797101448;78.08622;79.87782625110104;82.14611562766648;77.965564588509;83.9014347826087
46;82.0;77.0;78.06204950282228;77.95124637681158;86.97178;80.23337110978265;81.65235578824957;79.28297417161271;83.9014347826087
47;74.0;82.0;86.65398753641847;85.59;89.35788;77.76701832981497;87.21439746197079;80.2779076684801;83.9014347826087
48;74.0;77.0;83.18855749403568;84.75;83.35944;77.45401456254297;81.91656426085862;79.94375103962484;83.9014347826087
